"Authorize","Авторизовать"
"Authorize and Capture","Авторизовать и Списать"
"Payment Action","Действие Оплаты"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Выберите, только авторизовать платежи или авторизовать и списывать их немедленно. Примечание: Предварительная авторизация (опция Авторизовать) поддерживается только для карточных платежей, а не для MBWay или Multibanco."
"Authorized Status","Статус Авторизации"
"Captured Status","Статус Списания"
"Test","Тест"
"Production","Продакшн"
"Callback signature verification failed","Проверка подписи обратного вызова не удалась"
"Something went wrong while processing the payment. Quote was restored.","Что-то пошло не так при обработке платежа. Корзина была восстановлена."
"Something went wrong while processing the payment. Cannot restore previous quote.","Что-то пошло не так при обработке платежа. Невозможно восстановить предыдущую корзину."
"Payment was canceled. Quote was restored.","Платеж был отменен. Корзина была восстановлена."
"Duplicated","Дублированный"
"Fraudulent","Мошеннический"
"Requested by customer","По запросу клиента"
"Required parameter ""%1"" is missing or empty.","Обязательный параметр ""%1"" отсутствует или пуст."
"MONEI - Pending","MONEI - Ожидание"
"MONEI - Authorized","MONEI - Авторизовано"
"MONEI - Expired","MONEI - Истек срок"
"MONEI - Failed","MONEI - Не удалось"
"MONEI - Succeeded","MONEI - Успешно"
"MONEI - Partially Refunded","MONEI - Частично Возвращено"
"MONEI - Refunded","MONEI - Возвращено"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Причина отмены '%1' недействительна. Допустимые причины: %2"
"%1 should be numeric value","%1 должно быть числовым значением"
"Refund reason","Причина возврата"
"Pay with Monei","Оплатить с MONEI"
"method:","метод:"
"last4:","последние 4:"
"brand:","бренд:"
"phoneNumber:","номер телефона:"
"Cardholder","Держатель карты"
"Payment Method","Способ Оплаты"
"Digital Wallet","Цифровой Кошелек"
"Issuing Bank","Банк-эмитент"
"Phone Number","Номер Телефона"
"Country","Страна"
"Country Code","Код Страны"
"Required parameters are missing. Cannot proceed with cancellation.","Отсутствуют обязательные параметры. Невозможно продолжить отмену."
"MONEI payment cancellation failed: %1","Отмена платежа MONEI не удалась: %1"
